-5.000000000000000000e+01,5.360505679366311504e+00,9.087080467071205092e+00
-4.795918367346938993e+01,6.321877333506472851e+00,1.071127777094150346e+01
-4.591836734693877276e+01,7.411352378570462918e+00,1.255249827346929870e+01
-4.387755102040816269e+01,8.642540903375740768e+00,1.463353897033979933e+01
-4.183673469387755262e+01,1.003010016545944616e+01,1.697888016161503799e+01
-3.979591836734694255e+01,1.158977859839862923e+01,1.961474570219016655e+01
-3.775510204081632537e+01,1.333845912941458955e+01,2.256916109398110493e+01
-3.571428571428571530e+01,1.529420165883290395e+01,2.587200919367963436e+01
-3.367346938775510523e+01,1.747628455740226272e+01,2.955508332403633887e+01
-3.163265306122448806e+01,1.990524504261289707e+01,3.365213759161672158e+01
-2.959183673469387799e+01,2.260291830092332432e+01,3.819893422965256491e+01
-2.755102040816326436e+01,2.559247522914164108e+01,4.323328780082612610e+01
-2.551020408163265074e+01,2.889845867503290222e+01,4.879510611141605381e+01
-2.346938775510204067e+01,3.254681806447992898e+01,5.492642770507271166e+01
-2.142857142857142705e+01,3.656494231013128626e+01,6.167145582142399718e+01
-1.938775510204081698e+01,4.098169090436723394e+01,6.907658872162714658e+01
-1.734693877551020336e+01,4.582742310753791770e+01,7.719044629975802252e+01
-1.530612244897959329e+01,5.113402515070740151e+01,8.606389291545259823e+01
-1.326530612244897611e+01,5.693493538052651104e+01,9.575005639940575008e+01
-1.122448979591836604e+01,6.326516728229195508e+01,1.063043431990912637e+02
-9.183673469387755972e+00,7.016133032567330474e+01,1.177844496473176719e+02
-7.142857142857138797e+00,7.766164858597312559e+01,1.302503693509293612e+02
-5.102040816326528727e+00,8.580597710205591966e+01,1.437643967110160759e+02
-3.061224489795918657e+00,9.463581594022947741e+01,1.583911265993925497e+02
-1.020408163265301482e+00,1.041943219413172272e+02,1.741974502287826283e+02
1.020408163265308588e+00,1.145263181359237592e+02,1.912525472660877313e+02
3.061224489795918657e+00,1.256783008204061360e+02,2.096278742492934555e+02
5.102040816326528727e+00,1.376984442933190849e+02,2.293971493789671854e+02
7.142857142857145902e+00,1.506366032590690338e+02,2.506363337649165146e+02
9.183673469387755972e+00,1.645443129121682659e+02,2.734236092173953807e+02
1.122448979591836604e+01,1.794747867218232216e+02,2.978393526802840938e+02
1.326530612244898322e+01,1.954829119426011914e+02,3.239661074109382639e+02
1.530612244897959329e+01,2.126252428825677043e+02,3.518885510178731693e+02
1.734693877551021046e+01,2.309599919656176326e+02,3.816934604732105640e+02
1.938775510204081343e+01,2.505470186296637110e+02,4.134696742218217764e+02
2.142857142857143060e+01,2.714478161069645239e+02,4.473080515133968333e+02
2.346938775510204778e+01,2.937254961370928754e+02,4.833014290873004484e+02
2.551020408163265074e+01,3.174447716669610600e+02,5.215445753430286686e+02
2.755102040816326792e+01,3.426719375958381306e+02,5.621341421314210720e+02
2.959183673469388509e+01,3.694748496264961659e+02,6.051686143035158238e+02
3.163265306122448806e+01,3.979229012864697665e+02,6.507482571551134924e+02
3.367346938775510523e+01,4.280869991859370884e+02,6.989750619057483618e+02
3.571428571428572241e+01,4.600395365809278019e+02,7.499526893508667627e+02
3.775510204081632537e+01,4.938543653124685875e+02,8.037864118257542714e+02
3.979591836734694255e+01,5.296067661938353694e+02,8.605830536188536826e+02
4.183673469387755972e+01,5.673734179193968430e+02,9.204509299710480263e+02
4.387755102040816269e+01,6.072323645695590812e+02,9.834997847958336479e+02
4.591836734693877986e+01,6.492629817870819124e+02,1.049840727253468231e+03
4.795918367346939704e+01,6.935459417005017713e+02,1.119586167309887969e+03
5.000000000000000000e+01,7.401631766707229190e+02,1.192849750408737009e+03
